Name,Cost,category_id,created_at,updated_at,Abbreviation,ChildOf
Pizza Sauce,0,1,,,PSC,
Mozzerella,0,1,,,CHS,
Ham,0.5,1,,,H,
Sausage,0.5,1,,,S,
Pepperoni,0.5,1,,,P,
Green Pepper,0.5,1,,,GP,
Onion,0.5,1,,,O,
Mushroom,0.5,1,,,M,
Ground Beef,0.5,1,,,GB,
Bacon,0.5,1,,,B,
Green Olives,0.5,1,,,GO,
Black Olives,0.5,1,,,BO,
Lettuce,0.5,1,,,LET,
Tomatoes,0.5,1,,,T,
Jalapeno Peppers,0.5,1,,,JAL,
Banana Peppers,0.5,1,,,BP,
Anchovies,0.5,1,,,ANC,
Pineapple,0.5,1,,,PIN,
Chicken,0.5,1,,,CK,
Spaghetti Sauce,0.5,1,,,SPSC,
Barbeque Sauce,0.5,1,,,BBQ,
Ranch Dressing,0.5,1,,,RNCH,
Miracle Whip,0.5,1,,,MWP,
Alfredo Sauce,0.5,1,,,ALF,
Romano Cheese,0.5,1,,,ROM,
Feta Cheese,0.5,1,,,FET,
Extra Pizza Sauce,0.5,1,,,xPSC,
Extra Mozzerella,1,1,,,xCHS,
Extra Ham,1,1,,,xH,
Extra Sausage,1,1,,,xS,
Extra Pepperoni,1,1,,,xP,
Extra Green Pepper,1,1,,,xGP,
Extra Onion,1,1,,,xO,
Extra Mushroom,1,1,,,xM,
Extra Ground Beef,1,1,,,xGB,
Extra Bacon,1,1,,,xB,
Extra Green Olives,1,1,,,xGO,
Extra Black Olives,1,1,,,xBO,
Extra Tomatoes,1,1,,,xT,
Extra Jalapeno Peppers,1,1,,,xJAL,
Extra Banana Peppers,1,1,,,xBP,
Extra Anchovies,1,1,,,xANC,
Extra Pineapple,1,1,,,xPIN,
Extra Chicken,1,1,,,xCK,
Light Pizza Sauce,0,1,,,ltPS,
Light Mozzerella,0,1,,,ltCHS,
Light Ham,0.5,1,,,ltH,
Light Sausage,0.5,1,,,ltS,
Light Pepperoni,0.5,1,,,ltP,
Light Green Pepper,0.5,1,,,ltGP,
Light Onion,0.5,1,,,ltO,
Light Mushroom,0.5,1,,,ltM,
Light Ground Beef,0.5,1,,,ltGB,
Light Bacon,0.5,1,,,ltB,
Light Green Olives,0.5,1,,,ltGO,
Light Black Olives,0.5,1,,,ltBO,
Light Tomatoes,0.5,1,,,ltT,
Light Jalapeno Peppers,0.5,1,,,ltJAL,
Light Banana Peppers,0.5,1,,,ltBP,
Light Anchovies,0.5,1,,,ltANC,
Light Pineapple,0.5,1,,,ltPIN,
Light Chicken,0.5,1,,,ltCK,
blank,0.5,1,,,BLANK,
Pizza Sauce,0,2,,,PSC,
Mozzerella,0,2,,,CHS,
Ham,0.75,2,,,H,
Sausage,0.75,2,,,S,
Pepperoni,0.75,2,,,P,
Green Pepper,0.75,2,,,GP,
Onion,0.75,2,,,O,
Mushroom,0.75,2,,,M,
Ground Beef,0.75,2,,,GB,
Bacon,0.75,2,,,B,
Green Olives,0.75,2,,,GO,
Black Olives,0.75,2,,,BO,
Lettuce,0.75,2,,,LET,
Tomatoes,0.75,2,,,T,
Jalapeno Peppers,0.75,2,,,JAL,
Banana Peppers,0.75,2,,,BP,
Anchovies,0.75,2,,,ANC,
Pineapple,0.75,2,,,PIN,
Chicken,0.75,2,,,CK,
Spaghetti Sauce,0.75,2,,,SPSC,
Barbeque Sauce,0.75,2,,,BBQ,
Ranch Dressing,0.75,2,,,RNCH,
Miracle Whip,0.75,2,,,MWP,
Alfredo Sauce,0.75,2,,,ALF,
Romano Cheese,0.75,2,,,ROM,
Feta Cheese,0.75,2,,,FET,
Extra Pizza Sauce,0.75,2,,,xPSC,
Extra Mozzerella,1.5,2,,,xCHS,
Extra Ham,1.5,2,,,xH,
Extra Sausage,1.5,2,,,xS,
Extra Pepperoni,1.5,2,,,xP,
Extra Green Pepper,1.5,2,,,xGP,
Extra Black Olives,1.5,2,,,xBO,
Extra Onion,1.5,2,,,xO,
Extra Mushroom,1.5,2,,,xM,
Extra Ground Beef,1.5,2,,,xGB,
Extra Bacon,1.5,2,,,xB,
Extra Green Olives,1.5,2,,,xGO,
Extra Tomatoes,1.5,2,,,xT,
Extra Jalapeno Peppers,1.5,2,,,xJAL,
Extra Banana Peppers,1.5,2,,,xBP,
Extra Anchovies,1.5,2,,,xANC,
Extra Pineapple,1.5,2,,,xPIN,
Extra Chicken,1.5,2,,,xCK,
Light Pizza Sauce,0,2,,,ltPS,
Light Mozzerella,0,2,,,ltCHS,
Light Ham,0.75,2,,,ltH,
Light Sausage,0.75,2,,,ltS,
Light Pepperoni,0.75,2,,,ltP,
Light Green Pepper,0.75,2,,,ltGP,
Light Onion,0.75,2,,,ltO,
Light Mushroom,0.75,2,,,ltM,
Light Ground Beef,0.75,2,,,ltGB,
Light Bacon,0.75,2,,,ltB,
Light Green Olives,0.75,2,,,ltGO,
Light Black Olives,0.75,2,,,ltBO,
Light Tomatoes,0.75,2,,,ltT,
Light Jalapeno Peppers,0.75,2,,,ltJAL,
Light Banana Peppers,0.75,2,,,ltBP,
Light Anchovies,0.75,2,,,ltANC,
Light Pineapple,0.75,2,,,ltPIN,
Light Chicken,0.75,2,,,ltCK,
blank,0.75,2,,,BLANK,
Pizza Sauce,0,3,,,PSC,
Mozzerella,0,3,,,CHS,
Ham,1,3,,,H,
Sausage,1,3,,,S,
Pepperoni,1,3,,,P,
Green Pepper,1,3,,,GP,
Onion,1,3,,,O,
Mushroom,1,3,,,M,
Ground Beef,1,3,,,GB,
Bacon,1,3,,,B,
Green Olives,1,3,,,GO,
Black Olives,1,3,,,BO,
Lettuce,1,3,,,LET,
Tomatoes,1,3,,,T,
Jalapeno Peppers,1,3,,,JAL,
Banana Peppers,1,3,,,BP,
Anchovies,1,3,,,ANC,
Pineapple,1,3,,,PIN,
Chicken,1,3,,,CK,
Spaghetti Sauce,1,3,,,SPSC,
Barbeque Sauce,1,3,,,BBQ,
Ranch Dressing,1,3,,,RNCH,
Miracle Whip,1,3,,,MWP,
Alfredo Sauce,1,3,,,ALF,
Romano Cheese,1,3,,,ROM,
Feta Cheese,1,3,,,FET,
Extra Pizza Sauce,1,3,,,xPSC,
Extra Mozzerella,2,3,,,xCHS,
Extra Ham,2,3,,,xH,
Extra Sausage,2,3,,,xS,
Extra Pepperoni,2,3,,,xP,
Extra Green Pepper,2,3,,,xGP,
Extra Onion,2,3,,,xO,
Extra Mushroom,2,3,,,xM,
Extra Ground Beef,2,3,,,xGB,
Extra Bacon,2,3,,,xB,
Extra Green Olives,2,3,,,xGO,
Extra Black Olives,2,3,,,xBO,
Extra Tomatoes,2,3,,,xT,
Extra Jalapeno Peppers,2,3,,,xJAL,
Extra Banana Peppers,2,3,,,xBP,
Extra Anchovies,2,3,,,xANC,
Extra Pineapple,2,3,,,xPIN,
Extra Chicken,2,3,,,xCK,
Light Pizza Sauce,0,3,,,ltPS,
Light Mozzerella,0,3,,,ltCHS,
Light Ham,1,3,,,ltH,
Light Sausage,1,3,,,ltS,
Light Pepperoni,1,3,,,ltP,
Light Green Pepper,1,3,,,ltGP,
Light Onion,1,3,,,ltO,
Light Mushroom,1,3,,,ltM,
Light Ground Beef,1,3,,,ltGB,
Light Bacon,1,3,,,ltB,
Light Green Olives,1,3,,,ltGO,
Light Black Olives,1,3,,,ltBO,
Light Tomatoes,1,3,,,ltT,
Light Jalapeno Peppers,1,3,,,ltJAL,
Light Banana Peppers,1,3,,,ltBP,
Light Anchovies,1,3,,,ltANC,
Light Pineapple,1,3,,,ltPIN,
Light Chicken,1,3,,,ltCK,
blank,1,3,,,BLANK,
Pizza Sauce,0,4,,,PSC,
Mozzerella,0,4,,,CHS,
Ham,1.25,4,,,H,
Sausage,1.25,4,,,S,
Pepperoni,1.25,4,,,P,
Green Pepper,1.25,4,,,GP,
Onion,1.25,4,,,O,
Mushroom,1.25,4,,,M,
Ground Beef,1.25,4,,,GB,
Bacon,1.25,4,,,B,
Green Olives,1.25,4,,,GO,
Black Olives,1.25,4,,,BO,
Lettuce,1.25,4,,,LET,
Tomatoes,1.25,4,,,T,
Jalapeno Peppers,1.25,4,,,JAL,
Banana Peppers,1.25,4,,,BP,
Anchovies,1.25,4,,,ANC,
Pineapple,1.25,4,,,PIN,
